id	slug	category	tags	cohort	origin	tmpl	nobj	kinds	starter	idmin	idmax	ids	prereq	companions	sessioninfo	testperm	tcid	ft_solved	ft_total	bo2_solved	bo2_total	passk5_models_ft	passk5_models_bo2	opus_ft_5	opus_bo2_5	evidence	desc
CG-AL-X044	document-attachment	integration-serialization		ado-trap-2026	community-idea	code-gen.md	0						Y			Disabled	80333									no-passk-data	>-
CG-AL-X045	effective-terms	business-logic		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80334									no-passk-data	>-
CG-AL-X046	borrowed-identity	integration-serialization		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80335									no-passk-data	>-
CG-AL-X047	dimension-weld	records-runtime		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80336									no-passk-data	>-
CG-AL-X050	borrowed-cursor	records-runtime		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80340									no-passk-data	>-
CG-AL-X051	day-close	data-modeling		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80341									no-passk-data	>-
CG-AL-X052	sealed-tariff	business-logic		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80342									no-passk-data	>-
CG-AL-X055	continue-shadowed	business-logic	control-flow;continue-statement;name-resolution;list-of	ado-trap-2026	hand-authored	code-gen.md	0									Disabled	88808									no-passk-data	|-
CG-AL-X056	json-null-guard	business-logic	json;jsontoken;null-handling;guard-clause	ado-trap-2026	hand-authored	code-gen.md	0									Disabled	88809									no-passk-data	|-
CG-AL-X057	maxstrlen-unbounded	business-logic	text-length;maxstrlen;copystr;overflow	ado-trap-2026	hand-authored	code-gen.md	0									Disabled	88810									no-passk-data	|-
CG-AL-X058	find-current-key	records-runtime	find;current-key;non-key-field;dedup	ado-trap-2026	hand-authored	code-gen.md	0						Y			Disabled	88811									no-passk-data	|-
CG-AL-X059	testfield-polarity	records-runtime	testfield;enum-ordinal;field-validation;polarity	ado-trap-2026	hand-authored	code-gen.md	0						Y			Disabled	88812									no-passk-data	|-
CG-AL-X060	setloadfields-get	records-runtime	setloadfields;partial-records;get;primary-key	ado-trap-2026	hand-authored	code-gen.md	0						Y			Disabled	88813									no-passk-data	|-
CG-AL-X061	autocalc-after-fetch	records-runtime	flowfield;setautocalcfields;calcfields;record-buffer	ado-trap-2026	hand-authored	code-gen.md	0						Y			Disabled	88814									no-passk-data	|-
CG-AL-X062	bindsubscription-instance	integration-serialization	bindsubscription;event-subscriber;manual-instance;per-instance-binding	ado-trap-2026	hand-authored	code-gen.md	0						Y			Disabled	88815									no-passk-data	|-
CG-AL-X063	recordref-field-exists	records-runtime	recordref;fieldref;fieldexist;reflection	ado-trap-2026	hand-authored	code-gen.md	0						Y			Disabled	88816									no-passk-data	|-
CG-AL-X064	evaluate-failure-semantics	error-transactions	evaluate;return-value;error-suppression;text-parsing	ado-trap-2026	hand-authored	code-gen.md	0									Disabled	88817									no-passk-data	|-
CG-AL-X065	var-record-filter-wipe	business-logic	diagnose;var-record;filters;findset;borrowed-cursor	reasoning-100	hand-authored	diagnose.md	3	Codeunit:2,Table:1	Y	70200	70202	70200,70201,70202				Disabled	88818	30	30	30	30	6	6	5	5	measured-5trial	"'The application manages order lines. Codeunit ""CG X065 Repricer"" recalculates the ""Line Total"" of every order line in a category. Users report that after RepriceCategory runs for a category holding several lines, only one of the category''s lines ends up with an updated ""Line Total""; the others keep their previous value. Fix the application so RepriceCategory updates every line in the category.'"
CG-AL-X066	fifo-round-per-layer	rounding-allocation	diagnose;rounding;fifo-costing;cost-layers	reasoning-100	hand-authored	diagnose.md	3	Codeunit:1,Table:2	Y	70310	70312	70310,70311,70312				Disabled	88819	28	30	29	30	5	5	5	5	measured-5trial	"'Codeunit ""CG X066 Costing Engine"" recomputes the Shipment Cost of every outbound entry for an item from that item''s receipts, consuming them strictly oldest-first, and stores one ""CG X066 Shipment Cost"" row per outbound entry. Finance has noticed that for some items an outbound entry''s recorded Shipment Cost is a cent higher or lower than what the receipts it drew on actually cost, so the item'"
CG-AL-X067	manual-subscriber-global	interfaces-events	diagnose;event-subscriber;manual-instance;bindsubscription;ishandled-pattern	reasoning-100	hand-authored	diagnose.md	2	Codeunit:2	Y	70320	70321	70320,70321				Disabled	88820	5	30	10	30	0	2	1	5	irreducible-core-9,passk-n24-subset	"'The application calculates freight charges. Codeunit ""CG X067 Freight Calculator"" computes a default freight charge of 10% of the order amount, rounded to the nearest cent. Codeunit ""CG X067 Free Freight Promotion"" is meant to override that default with a charge of 0, but only for the one process that has explicitly turned the promotion on for its own call; every other caller should still see the"
CG-AL-X068	cross-column-filtergroup	business-logic	diagnose;filtergroup;cross-column-search;setfilter	reasoning-100	hand-authored	diagnose.md	4	Codeunit:2,Table:2	Y	70330	70333	70330,70331,70332,70333				Disabled	88821	18	30	26	30	1	4	3	5	passk-n24-subset	"'The application backs a contact search box: users type one search term and expect a hit whenever that term appears in a contact''s Name or its City. Support reports that codeunit ""CG X068 Search Svc""''s Search and SearchContactable procedures - backed by ""CG X068 Contact Search"" - only count a contact when the term shows up in the Name and the City at the same time. A contact whose name matches b"
CG-AL-X069	queue-scan-per-row-lookup	performance-diagnosis	diagnose;performance;n-plus-one;sql-counters;denormalization	reasoning-100	hand-authored	diagnose.md	3	Codeunit:1,Table:2	Y	70340	70342	70340,70341,70342			Y	Disabled	88822	17	30	20	30	2	3	5	5	passk-n24-subset	"'The application queues outbound Annual and Quarterly reference reports in table ""CG X069 Queue Entry"", each entry pointing back at the source record in table ""CG X069 Report Source"" that it reports on. Before closing an accounting period, codeunit ""CG X069 Reference Process"" calls HasPendingReferenceUpToPeriodEnd to check whether any Annual or Quarterly reference is still outstanding as of the pe"
CG-AL-X070	commit-outside-loop	error-transactions	diagnose;commit-placement;transaction-boundary;batch-processing;error-recovery	reasoning-100	hand-authored	diagnose.md	4	Codeunit:1,Enum:1,Table:2	Y	70350	70353	70350,70351,70352,70353				Disabled	88823	30	30	30	30	6	6	5	5	measured-5trial	"'The application imports batches of pending orders into permanent records. Codeunit ""CG X070 Import Batch"" exposes ImportBatch(BatchCode: Code[20]), which is meant to process every pending line of the given batch, in ascending Line No. order: a line with a blank Customer No. must fail with the standard field-guard error, a line whose Quantity is zero or negative must fail with an error mentioning "
CG-AL-X071	flowfield-cap-never-fires	business-logic	diagnose;event-subscriber;flowfield;release-workflow	reasoning-100	hand-authored	diagnose.md	7	Codeunit:2,Enum:2,Table:3	Y	70360	70366	70360,70361,70362,70363,70364,70365,70366				Disabled	88824	28	30	28	30	5	5	5	5	measured-5trial	"'The application manages sales orders for customers with per-customer order caps. Codeunit ""CG X071 Release Mgt"" exposes Release, which is supposed to refuse to release any order whose amount exceeds its sell-to customer''s ""Max Order Amount (LCY)"" (set on table ""CG X071 Customer""). Users report the cap has stopped working: Release always succeeds and the order''s Status becomes Released, no matte"
CG-AL-X072	subscriber-verdict-overwrite	interfaces-events	diagnose;event-subscriber;shared-var-parameter;monotonic-contract;subscriber-order	reasoning-100	hand-authored	diagnose.md	4	Codeunit:3,Table:1	Y	70370	70373	70370,70371,70372,70373				Disabled	88825	29	30	30	30	5	6	5	5	measured-5trial	"'The application manages a loyalty program''s priority-support eligibility. Table ""CG X072 Loyalty Candidate"" records each candidate''s lifetime spend, a manual VIP override, and the ""Priority Support Approved"" verdict; codeunit ""CG X072 Loyalty Gatekeeper""''s EvaluateAllPending procedure runs every candidate that has not yet been decided through EvaluateCandidate and writes the verdict back onto "
CG-AL-X073	rename-cascade-gap	business-logic	diagnose;rename;cascade;table-relation;sibling-table	reasoning-100	hand-authored	diagnose.md	4	Codeunit:1,Table:3	Y	70380	70383	70380,70381,70382,70383				Disabled	88826	30	30	30	30	6	6	5	5	measured-5trial	"'The application manages product categories, the products assigned to them, and saved report filters that summarize a category''s products. Codeunit ""CG X073 Category Rename Mgt."" renames a product category via RenameCategory and updates every affected product''s ""Category Code"" to match. Users report that after renaming a category, a report filter that was previously counting that category''s pro"
CG-AL-X074	getfilter-blank-sentinel	business-logic	diagnose;getfilter;blank-value;evaluate;scoping	reasoning-100	hand-authored	diagnose.md	4	Codeunit:1,Page:1,Table:2	Y	70390	70393	70390,70391,70392,70393				Disabled	88827	1	30	15	30	0	1	0	4	irreducible-core-9,passk-n24-subset	"'The application manages expense reports and their comment lines. Codeunit ""CG X074 Comment Mgt.""''s CountRelatedComments procedure is meant to report how many comment lines belong to whichever expense report is currently open in the Comments list. Users report that opening a brand-new, not-yet-saved expense report and viewing its Comments list takes a long time to respond, and the count it eventu"
CG-AL-X075	marked-union-reset	business-logic	diagnose;mark;markedonly;union-filter;reset-clears-marks	reasoning-100	hand-authored	diagnose.md	4	Codeunit:2,Table:2	Y	70400	70403	70400,70401,70402,70403				Disabled	88828	25	30	26	30	4	4	5	5	measured-5trial	"'The application manages campaign contacts for phone campaigns. Codeunit ""CG X075 Campaign Call List"" builds a caller''s call list from a target city and a minimum credit limit: contacts located in the target city, plus contacts whose credit limit meets the threshold, each visited exactly once when the caller iterates the shaped view afterwards. Users report that contacts who qualify only because "
CG-AL-X076	tryfunction-swallows-writes	error-transactions	diagnose;tryfunction;error-handling;legacy-import	reasoning-100	hand-authored	diagnose.md	3	Codeunit:2,Table:1	Y	70410	70412	70410,70411,70412				Disabled	88829	18	30	27	30	3	5	5	5	measured-5trial	"'The application imports legacy amount lines from a nightly feed. Codeunit ""CG X076 Import Job"" exposes ImportBatch, which calls ""CG X076 Legacy Importer""''s ImportLine once per line and counts how many lines were actually imported. A well-formed, non-negative amount text should produce one ""CG X076 Legacy Amount"" row for its entry code and count as imported; a badly-formed or negative amount text"
CG-AL-X077	validity-overlap-condition	business-logic	diagnose;interval-overlap;boolean-operator;blank-date-sentinel;temp-record	reasoning-100	hand-authored	diagnose.md	2	Codeunit:1,Table:1	Y	70420	70421	70420,70421				Disabled	88830	26	30	26	30	4	4	5	5	measured-5trial	"'The application manages an item''s price list validity windows. Codeunit ""CG X077 Validity Analyzer"" exposes MergeValidityPeriods, which combines the item''s windows into continuous coverage periods, and CountConflictingPairs, which counts how many pairs of windows actually overlap. Users report that CountConflictingPairs is significantly undercounting conflicts - most noticeably, an item''s open"
CG-AL-X078	royalty-accumulator-reset	business-logic	diagnose;accumulator-reset;var-parameter;running-total	reasoning-100	hand-authored	diagnose.md	3	Codeunit:1,Table:2	Y	70430	70432	70430,70431,70432				Disabled	88831	29	30	30	30	5	6	5	5	measured-5trial	"'The application manages royalty statements for licensed theatrical performances. Codeunit ""CG X078 Statement"" builds the statement for one agreement via BuildStatement, writing one line per performance into a ""CG X078 Statement Line"" buffer and returning the two summary totals, TotalAmount and TotalCredits. Users report that when statements for several agreements are generated back-to-back in the"
CG-AL-X079	penny-allocation-drift	rounding-allocation	diagnose;rounding;allocation;invariant;decimal	reasoning-100	hand-authored	diagnose.md	3	Codeunit:1,Table:2	Y	70440	70442	70440,70441,70442				Disabled	88832	19	30	20	30	2	2	5	5	passk-n24-subset	"'Codeunit ""CG X079 Charge Allocator"" spreads a ""CG X079 Charge Header"" record''s Total Charge Amount across its ""CG X079 Charge Line"" records in proportion to each line''s Weight, storing the result in each line''s Allocated Amount and marking the header Allocated. Finance has noticed that on some invoices the Allocated Amount values recorded on a charge''s lines do not add up to the header''s Tot"
CG-AL-X080	enum-wire-hardcoded-map	business-logic	diagnose;enum;extensible-enum;enumextension;wire-mapping	reasoning-100	hand-authored	diagnose.md	5	Codeunit:2,Enum:1,EnumExt:1,Table:1	Y	70450	70454	70450,70451,70452,70453,70454		CG-AL-X080.LateCarrierStatus.EnumExt.al		Disabled	88833	0	30	9	30	0	0	0	4	irreducible-core-9,passk-n24-subset	"'The application syncs shipment tracking status from a parcel carrier''s API. Codeunit ""CG X080 Shipment Status Sync"" receives a shipment number and the carrier''s numeric status code and stores the mapped status on ""CG X080 Shipment Tracking"". Since the carrier started returning a new status code, shipments carrying that status get stuck showing Unknown on the shipment tracking list, even though "
CG-AL-X081	line-default-blank-skip	interfaces-events	diagnose;event-subscriber;blank-guard;line-defaults	reasoning-100	hand-authored	diagnose.md	4	Codeunit:2,Table:2	Y	70460	70463	70460,70461,70462,70463				Disabled	88834	30	30	30	30	6	6	5	5	measured-5trial	"'The application manages order lines for graded items. Table ""CG X081 Item"" records each item''s optional ""Quality Grade""; table ""CG X081 Order Line"" carries its own ""Quality Grade"" field that is meant to always mirror whichever item is on the line, refreshed every time ""Item No."" is validated. Users report that order lines don''t reliably reflect the item''s grade. Adding a fresh line for a grade"
CG-AL-X082	http-retry-classification	integration-serialization	diagnose;http-retry;status-code-classification;backoff;retry-budget	reasoning-100	hand-authored	diagnose.md	4	Codeunit:2,Interface:1,Table:1	Y	70470	70472	70470,70471,70472		CG-AL-X082.MockHttpHandler.al;CG-AL-X082.NoStatusHttpHandler.al		Disabled	88835	30	30	30	30	6	6	5	5	measured-5trial	"'The application refreshes exchange rates from an external provider. The nightly refresh (RefreshRate in codeunit ""CG X082 Exchange Rate Sync"", which calls ""CG X082 Resilient Http Client"") is supposed to survive brief outages from the rates provider by retrying up to its attempt budget. In practice, whenever the provider answers with 429 (rate limited) or any 5xx status other than exactly 500 - fo"
CG-AL-X083	xml-default-namespace	integration-serialization	diagnose;xml;xpath;namespaces;xml-namespace-manager	reasoning-100	hand-authored	diagnose.md	3	Codeunit:2,Table:1	Y	70480	70482	70480,70481,70482				Disabled	88836	30	30	30	30	6	6	5	5	measured-5trial	"'The application imports FreightEx carrier shipment-status messages: codeunit ""CG X083 Shipment Import Mgt."" parses each incoming message and writes one row per shipment to the ""CG X083 Shipment Import Entry"" table. Since production traffic started arriving, every entry the import writes shows a Package Count of 0 and a Status of Empty Shipment, even for shipments that clearly are not empty. The s"
CG-AL-X084	calctotals-rebuild-quadratic	performance-diagnosis	diagnose;performance;quadratic-blowup;incremental-update;sql-counters	reasoning-100	hand-authored	diagnose.md	4	Codeunit:1,Table:3	Y	70490	70493	70490,70491,70492,70493			Y	Disabled	88837	19	30	19	30	3	3	5	5	measured-5trial	"'Codeunit ""CG X084 Total Mgt"" tracks which ledger entries have been applied in the current session and keeps a ""CG X084 Total Buffer"" row per applied entry showing that entry''s own remaining amount. Entering entries one at a time gets progressively slower the further into a session the user is - the first few entries feel instant, but by the time a hundred or more have been added, each new one vi"
CG-AL-X085	commit-locks-partial-state	error-transactions	diagnose;commit-placement;transaction-boundary;partial-write;error-recovery	reasoning-100	hand-authored	diagnose.md	3	Codeunit:1,Table:2	Y	70500	70502	70500,70501,70502				Disabled	88838	30	30	30	30	6	6	5	5	measured-5trial	"'The application manages batch headers that can be reissued from a configured template. Codeunit ""CG X085 Batch Reissue Mgt"" exposes Reissue(BatchNo: Code[20]), which is meant to replace the existing ""CG X085 Batch Header"" row for that batch number with a freshly built one: the new header copies its Description and Template Code from the ""CG X085 Reissue Setup"" record, stamps today''s date as its "
CG-AL-X086	silent-rename-skip	business-logic	diagnose;identity-merge;silent-skip;guard-clause;rename	reasoning-100	hand-authored	diagnose.md	4	Codeunit:2,Table:2	Y	70510	70513	70510,70511,70512,70513				Disabled	89083	24	30	28	30	3	4	5	5	measured-5trial	"'The application keeps a local ""CG X086 Contact"" record for every contact reported by an external feed. Codeunit ""CG X086 Feed Import"" reads each line of ""CG X086 Feed Line"" and calls codeunit ""CG X086 Contact Sync""''s SyncContact procedure, which updates the local contact''s Contact Id to whatever id the feed currently reports for it, then refreshes Company Name, VAT Registration No., Address, St"
CG-AL-X087	stale-copy-modify	interfaces-events	diagnose;event-subscriber;var-record;lost-update;stale-reference	reasoning-100	hand-authored	diagnose.md	4	Codeunit:3,Table:1	Y	70520	70523	70520,70521,70522,70523				Disabled	89084	30	30	30	30	6	6	5	5	measured-5trial	"'The application manages document headers that support being copied into new documents. Codeunit ""CG X087 Document Copy Mgt"" exposes CopyDocument, which creates a new document from an existing one; a correctly copied document ends up released, carries the reference recorded at the moment it was released, and is marked as audited. Users report that after CopyDocument runs, the new document is corre"
CG-AL-X088	guard-exits-unfiltered	business-logic	diagnose;var-record;early-exit;guard-clause	reasoning-100	hand-authored	diagnose.md	3	Codeunit:1,Table:2	Y	70530	70532	70530,70531,70532				Disabled	89085	30	30	30	30	6	6	5	5	measured-5trial	"'The application tracks search rules that must be completed before a search can run. Codeunit ""CG X088 Search Rule Mgt"" exposes HasIncompleteRules, which the Search Rules page consults to decide whether to warn the user that rules still need attention. Users report the warning shows on every page open, even after every rule has been marked complete. Turning off ""Advanced Filtering Enabled"" in the "
CG-AL-X089	per-item-price-lookup	performance-diagnosis	diagnose;performance;n-plus-one;sql-counters;bulk-lookup	reasoning-100	hand-authored	diagnose.md	3	Codeunit:1,Table:2	Y	70540	70542	70540,70541,70542			Y	Disabled	89086	18	30	25	30	2	3	5	5	measured-5trial	"'The application values item journal batches before posting. Codeunit ""CG X089 Batch Valuation"" exposes ValueByItem(TemplateName, BatchName): it returns a dictionary mapping each distinct item number appearing on the batch''s lines - where both the batch''s Template Name and Batch Name must match - to the total value of that item''s lines, each line''s Quantity times the item''s current ""CG X089 I"
CG-AL-X090	per-customer-lookup-cost	performance-diagnosis	diagnose;performance;n-plus-one;query-join;sql-counters	reasoning-100	hand-authored	diagnose.md	3	Codeunit:1,Table:2	Y	70550	70553	70550,70551,70553			Y	Disabled	89087	8	30	11	30	0	0	0	2	irreducible-core-9,passk-n24-subset	"'The application logs financial adjustments in table ""CG X090 Adjustment"", each row pointing back at the case it belongs to in table ""CG X090 Case"" by ""Case No."". Codeunit ""CG X090 Totals Report"" exposes TotalsByTeam, which returns the sum of adjustment amounts for every case whose ""Assigned Team"" matches a given filter, one total per team. The report used to return almost instantly; now that the "
CG-AL-X091	instance-cache-miss	performance-diagnosis	diagnose;setup-table;caching;sql-budget;session-scope	reasoning-100	hand-authored	diagnose.md	2	Codeunit:1,Table:1	Y	70560	70561	70560,70561			Y	Disabled	89088	29	30	30	30	5	6	5	5	measured-5trial	"'The application manages dispatch configuration in a single-row setup table, ""CG X091 Setup"". Codeunit ""CG X091 Setup Mgt"" exposes GetSetup and Invalidate, and is meant to read the row from the database at most once and then serve every later GetSetup call from memory, until something calls Invalidate. Testing shows the caching works fine as long as the same variable of the codeunit keeps being re"
CG-AL-X092	wire-format-locale	integration-serialization	diagnose;wire-format;locale;round-trip	reasoning-100	hand-authored	diagnose.md	1	Codeunit:1	Y	70570	70570	70570				Disabled	89089	25	30	27	30	5	5	5	5	measured-5trial	"'An extension exchanges documents with an external service through codeunit ""CG X092 Wire Format"". Its ToWireDate, FromWireDecimal, and FromWireDate procedures already produce and accept the same text on every server, whatever that server''s regional settings; ToWireDecimal does not. On a server whose regional settings differ from the wire format, ToWireDecimal can write a different decimal charac"
CG-AL-X093	json-build-locale	integration-serialization	diagnose;json;jsonobject;iso-8601;culture-invariant-numbers	reasoning-100	hand-authored	diagnose.md	3	Codeunit:1,Table:2	Y	70580	70582	70580,70581,70582				Disabled	89090	22	30	26	30	4	5	5	5	measured-5trial	"'Codeunit ""CG X093 Order Export"" builds the JSON payload a warehouse partner''s integration reads for each order, with an orderNo, customerNo and orderDate at the top level and one lines array entry per order line carrying lineNo, itemNo, description, quantity, unitPrice and lineAmount. Two problems have appeared since the partner went live. First, their intake system rejects the order whenever it"
CG-AL-X094	handled-event-gap	interfaces-events	diagnose;integration-event;ishandled-gate;event-subscriber;all-or-nothing-gate	ado-trap-2026	hand-authored	diagnose.md	2	Codeunit:2	Y	70590	70591	70590,70591		CG-AL-X094.OtherRule.Codeunit.al		Disabled	89091	30	30	30	30	6	6	5	5	measured-5trial	"'The application resolves reference codes for documents. Codeunit ""CG X094 Reference Engine"" exposes ResolveReference(Category, SourceNo, PeriodNo), which combines a resolved reference body with a mandatory fiscal-period segment that every reference must carry, whichever category it belongs to. Codeunit ""CG X094 Custom Rule"" supplies a custom reference body for category CUSTOM; every other categor"
